Median,LCI.95,UCI.95,Means,n.plts,Species,Quantile
0.07156269124139596,0.05487880405145788,0.08974990586958757,0.07179393979069985,,X11,1
0.11904774995544196,0.08524732080989274,0.16357217695179124,0.12050969863304585,,X11,2
0.11784206723904259,0.08040044552845388,0.16487101048471536,0.11925000162703965,,X11,3
0.06304164802936804,0.03993702206672181,0.10475671786647768,0.06558435449725053,,X11,4
0.110954424497063,0.08437135683260395,0.14987912618787685,0.11230631018061764,,X11,5
0.09133937833063341,0.0682980787645306,0.11792713336847482,0.09142340735919673,,X11,6
0.15347499161534964,0.06384939690162711,0.28865884679803433,0.15805343803063315,,X11,7
0.08487932689889016,0.06092433765168868,0.10853888196229938,0.08522856647181394,,X11,8
NA,NA,NA,NA,,X11,9
0.17011387595002664,0.09178003127378821,0.254114371796261,0.1719290697195453,,X117,1
0.21911259602932814,0.1704762098013683,0.2754277995593242,0.21982021079994316,,X117,2
0.17052885729377992,0.11429319279927175,0.23806315395514238,0.17171312612028472,,X117,3
0.1649229811121561,0.09340752520817702,0.2511921909036931,0.16892655071367085,,X117,4
0.13483352235925983,0.09121242514678761,0.1818783937587849,0.13474763147568233,,X117,5
0.1360354061013087,0.05562574839541551,0.227211451426765,0.13886905216631162,,X117,6
NA,NA,NA,NA,,X117,7
NA,NA,NA,NA,,X117,8
NA,NA,NA,NA,,X117,9
0.08536086596361038,0.06698935190583451,0.10923401305229664,0.08608228013310634,,X122,1
0.11116737892184783,0.09344142812200193,0.1342208182814228,0.11176322786030056,,X122,2
0.14004889409869525,0.11270673145549183,0.1689339798191385,0.1406202603566255,,X122,3
0.12130366610291397,0.08854027827472197,0.16262146275238754,0.1229719790430353,,X122,4
0.09266836446407725,0.07443085373760246,0.11559755931971506,0.09326182219710262,,X122,5
0.11383993482719842,0.08043552637851495,0.1524068543404608,0.11448394548729918,,X122,6
0.08650199746803108,0.015122265481680745,0.17927723619956915,0.08751800355035763,,X122,7
0.24993918027041734,0.14391197280392273,0.3783727702606863,0.2520230560832016,,X122,8
0.027359234121166344,0.00515420561448856,0.05695055272664262,0.028369895881218188,,X122,9
0.08649567837582404,0.07516771770688764,0.09816567930720631,0.08645018083999498,,X202,1
0.10399569829987187,0.08900838666597621,0.1211242873537099,0.10419438490852351,,X202,2
0.0937691603833061,0.08152854723101452,0.10733926277997057,0.09395263559222494,,X202,3
0.09212886375601384,0.0828099329686486,0.10219627727986039,0.09220973241827056,,X202,4
0.08615760534102992,0.07808194642653897,0.09573069127655598,0.08631539775310657,,X202,5
0.10318055035254453,0.07985472882748523,0.12980500044104518,0.10373574094143491,,X202,6
0.08431902126118121,0.06606626711225587,0.10430387522676078,0.0847119214268367,,X202,7
0.11446136759539238,0.08640097488028649,0.14683965782463138,0.11513370204956722,,X202,8
0.06596825960408437,0.036717385104337544,0.11887231044193244,0.06860987868297565,,X202,9
0.01890556730809745,0.007276915811139168,0.032695945593204205,0.019280943486988025,,X242,1
0.027802254915006337,0.015350628263750119,0.048152219968184994,0.028646359055585942,,X242,2
0.01893128746659325,0.01019891303388681,0.031418791713687326,0.019479813857678448,,X242,3
0.04060393589518009,0.02396904905002886,0.05976092569061854,0.040694334697280364,,X242,4
0.04883269909235898,0.0318973969906895,0.06747560900662725,0.04913812083812923,,X242,5
0.037868893329056005,0.01465503497057484,0.081689754517157,0.040653777764617274,,X242,6
0.041374218591225864,0.009515499670822205,0.06496400810864424,0.040019386386275835,,X242,7
0.044309026564005316,0.021308128032385357,0.0713511202710684,0.044899369348887996,,X242,8
0.07104672398445963,0.022813848299152194,0.14237105209858544,0.07459872963736962,,X242,9
0.13297459902754633,0.07302863708384144,0.2118600379129922,0.13540620832718078,,X805,1
0.11243707778909187,0.07149939799355519,0.15871068498698493,0.11324409620821815,,X805,2
0.1211947758831595,0.07753855032527374,0.17187518769357185,0.12218889640887377,,X805,3
0.05648868523970371,0.033224787135761956,0.08919532511390459,0.05769365028412068,,X805,4
0.17852726207472047,0.10194425652042835,0.30186700864454963,0.18384480234137435,,X805,5
0.21735914841568554,0.07916652094046141,0.42191997516223223,0.2213231915600992,,X805,6
0.1620486970154446,0.01416041377231427,0.26668845138607605,0.14821594512842273,,X805,7
0.08154626469134138,0,0.2659532719435338,0.09351103981190796,,X805,8
NA,NA,NA,NA,,X805,9
0.06429942922104434,0.02511259823579443,0.12171699525774089,0.06670684865161493,,X81,1
0.1233935063337161,0.09450010643289582,0.16011325210419877,0.12411491541172201,,X81,2
0.14569415600455798,0.11019404218857844,0.18749720853101412,0.14679325871466667,,X81,3
0.11013589442837432,0.05172039052074035,0.18460742456033838,0.11339340865996143,,X81,4
0.07838648449587873,0.045854230720096534,0.11941516875320857,0.07999394897703964,,X81,5
0.10440784466365208,0.0494490572592242,0.18685539999475262,0.10901776514871266,,X81,6
0.11029626106685814,0.052533581066821426,0.22293053836490284,0.11749001277710651,,X81,7
NA,NA,NA,NA,,X81,8
NA,NA,NA,NA,,X81,9
0.1678656891341713,0.11004145361336502,0.24588231137589248,0.17068344906588145,,X818,1
0.14952327812285152,0.11442865701135115,0.1912162047569193,0.1500369458192789,,X818,2
0.17567005415117265,0.12536680691618127,0.2388524116251097,0.17724330683280204,,X818,3
0.1274375712697876,0.08352446450754601,0.18870837799584428,0.12939307787982515,,X818,4
0.1250944361606726,0.08848898504576436,0.1667867133401778,0.12653073128056702,,X818,5
0.1502324038795368,0.10391185737157636,0.21177653404738875,0.1525292073334172,,X818,6
NA,NA,NA,NA,,X818,7
NA,NA,NA,NA,,X818,8
NA,NA,NA,NA,,X818,9
0.21677886080368186,0.14029507501366445,0.30938682798287964,0.21752667524160396,,X93,1
0.2157464910357948,0.14309020002988296,0.295107762958049,0.21563833328123833,,X93,2
0.11350090388006304,0.06889653221293336,0.16764789199817692,0.11539793444231622,,X93,3
0.3811357538367492,0.2392352432619341,0.5266769354397614,0.38190183800142535,,X93,4
0.123595270499219,0.08335798987337087,0.17326666917813838,0.12562370977688692,,X93,5
0.06449011212407654,0.034241213640642164,0.1090809808786258,0.06624614968325881,,X93,6
NA,NA,NA,NA,,X93,7
0.12416841501003173,0.04199013830159581,0.26761094844182365,0.1308780191196782,,X93,8
NA,NA,NA,NA,,X93,9
