STATECD,PLOT_FIADB,INVYR,pre.vpdmin,post.vpdmin
41,99173,2005,1.77185007935,1.9046001077
41,67056,2007,2.22285009035,2.3739000916
41,68202,2009,1.620250088,1.6540300607
41,73015,2001,2.47437012795,2.7431001663
41,88027,2008,2.85185016395,3.0809001445
41,77281,2001,2.1813100994,2.3543001413
41,86580,2003,1.8736500919,1.7687001227999999
41,56716,2005,1.84865007395,1.7924000977999999
41,75028,2007,1.7536000848,1.6339000701
41,97504,2009,2.90530011645,2.9431700946
41,61519,2001,1.9139450908,1.9293001056999999
41,67198,2006,2.40925012235,2.4376001001
41,52756,2008,1.87500008945,1.68900007
41,83155,2005,1.2349000692,1.3902000547
41,53794,2007,1.21130005115,1.3883000494
41,77780,2009,1.50660006995,1.5611000776
41,61799,2001,1.2886200635,1.4115000725
41,81509,2003,1.5054000736,1.4877000809
41,73438,2005,1.40600005975,1.4230000735
41,93888,2007,1.28750007745,1.3457000493
41,67613,2002,1.04205005775,1.1713000654
41,78098,2008,1.32615006565,1.5382000685
41,54099,2007,0.87030004265,0.934700054
41,79824,2004,1.4644500673,1.6839000701
41,76884,2002,1.39650007785,1.610300064
41,60781,2004,1.4109000713,1.6610000729
41,88864,2006,2.4734001218,2.7164000988
41,72538,2007,2.85280013085,3.0899001597
41,54410,2005,2.78110013015,3.0906001805
41,73777,2007,1.91280008555,1.7907000781
41,98601,2004,1.8269000947,1.7059000612
41,56529,2005,1.8421001017,1.7552000641
41,99306,2003,1.97940008645,1.8492000698
41,68467,2005,2.3959001243499998,2.4790001034999998
41,85371,2007,2.22225009205,2.1509000898
41,52981,2003,1.1084000557,1.2191000463
41,60191,2006,1.1203000485,1.2511000693
41,86490,2009,1.10270004575,1.2504100439999999
41,58493,2001,1.21034504465,1.3839000582
41,89162,2003,1.44010006185,1.4903000594
41,84628,2007,1.52945007685,1.5739000915999999
41,52090,2009,1.259700051,1.3266900598
41,73735,2007,1.144650051,1.4955000758
41,90918,2002,0.9826500416,1.1390000701
41,70768,2004,0.9534000426,1.0843000411
41,77637,2001,0.7978050381,0.8862000285
41,51112,2003,0.8686000495,0.9109000446
41,99953,2003,1.4439000696,1.6122000932
41,92131,2007,1.1112500488,1.247900045
41,88144,2009,1.2968000561,1.5085500478
41,89186,2006,1.2461500615,1.3933000683
41,80435,2008,2.1559501231,2.485200107
41,74463,2002,2.2596001148,2.5541001559
41,58234,2004,2.91015014645,3.1381001233
41,84922,2004,2.7661501408,3.0098001719
41,55175,2006,3.2571501494,3.4867001772
41,96717,2008,1.93205007905,1.8280000804
41,86535,2007,1.93585010175,1.7850000859
41,62858,2009,1.84665010575,1.6371300937
41,64475,2003,1.8886000813,1.7767000795
41,60253,2003,1.86435006265,1.7615000964
41,91184,2005,1.7758000731,1.7690000773
41,77081,2003,0.47485002435,0.5632000209
41,97181,2008,1.0130500585,1.2770000338
41,85047,2002,0.91390003565,1.0439000487
41,85159,2001,1.07935504015,1.2409000397
41,67094,2003,1.16610004605,1.3057000637
41,77126,2005,1.06385005715,1.2429000675
41,95763,2007,0.96510005295,1.1277000546
41,62363,2009,1.00045004795,1.1798700452
41,77386,2001,1.0990550488,1.2361000537
41,75250,2005,1.2370000571,1.38900007
41,64658,2007,2.35075010655,2.6444001437
41,76177,2009,1.2815000593,1.3607400537
41,66702,2003,2.4662501216,2.6937001228
41,80019,2006,2.05180010205,2.2627001285
41,99354,2008,1.71575009825,1.6613000751
41,61869,2002,1.88740007285,1.8649000881
41,91010,2004,1.8356500984,1.8868000865
41,68279,2006,1.80525007845,1.8170000791
41,62840,2006,1.6983500718,1.6426000952
