State_Plot,LAT,LON,n
502386,40.454444,-122.601494,1
502396,35.882176,-117.83925,2
502406,33.212765,-119.589687,2
502416,37.033115,-121.050946,2
502426,33.180466,-119.445412,2
502436,33.177102,-119.502203,2
502486,34.805648,-119.455716,1
502496,33.731373,-117.339658,2
502506,36.660305,-117.793845,1
502516,34.392188,-119.689227,2
502526,34.388627,-119.746871,2
502536,34.349714,-119.715437,2
502546,34.385036,-119.804499,2
502556,34.381409,-119.862145,1
502566,34.377754,-119.919779,2
502576,34.066505,-119.668765,2
502586,34.062975,-119.726173,2
502596,34.101906,-119.757449,2
502606,34.098326,-119.814878,2
502616,34.094711,-119.872316,2
502626,34.091068,-119.92974,2
502636,34.07541,-119.783297,2
502646,33.93906,-119.747247,2
502656,33.935488,-119.804566,2
502666,33.970785,-119.893146,2
502676,33.942586,-119.689924,1
502686,33.931889,-119.861881,2
502726,39.22479,-121.085499,2
502746,36.426006,-120.052206,2
502796,34.416601,-119.95132,2
502806,34.412896,-120.008988,1
502816,40.63253,-120.883572,2
502826,34.447941,-120.098291,2
502836,34.298173,-118.71034,1
502846,34.440332,-120.213669,2
502856,34.436476999999996,-120.271353,1
502866,35.344113,-119.548929,2
502876,41.393998,-123.529155,2
502886,38.847332,-120.48685,2
502896,34.048539,-119.955791,2
502906,34.009665,-119.924449,2
502916,34.005995,-119.981825,2
502926,33.967137,-119.950496,1
502936,40.577307,-121.657923,1
502946,33.924601,-119.976516,1
502956,41.984499,-123.803029,2
502966,38.945498,-120.976465,1
502976,33.948415,-120.237205,1
502986,33.90434,-120.029611,2
502996,33.878346,-120.059813,2
503006,33.874616,-120.117102,1
503016,36.633445,-120.339597,1
503046,41.638947,-121.455622,2
503066,41.729148,-121.364958,2
503096,35.003248,-115.861138,1
503106,34.558606,-117.122452,1
503116,41.455782,-121.34505,2
503126,34.453257,-120.300735,2
503136,34.432595,-120.329035,1
503146,34.444874,-120.416298,1
503156,34.026101,-118.253276,1
503166,34.42473,-120.444389,2
503176,34.033594,-120.185394,2
503196,34.107279,-120.305869,1
503206,34.068539,-120.274314,1
503216,35.450773,-117.329451,1
503236,34.103397,-120.363325,2
503246,35.2523,-115.738259,2
503256,34.060775,-120.389161,2
503266,34.018146,-120.41497,1
503276,35.012463,-115.791608,1
503286,34.056843,-120.446574,2
503296,34.052884,-120.503995,2
503306,34.034271,-120.288904,2
503316,33.987179,-120.268678,2
503326,33.98332,-120.326043,2
503336,33.979433,-120.383405,1
503346,33.909635,-120.205772,2
503356,33.870849,-120.174389,2
503366,38.831665,-119.885685,2
503376,38.348439,-122.750374,2
503416,35.431525,-116.832812,1
503456,34.541349,-116.459997,2
503476,39.660539,-123.197115,2
503496,36.944826,-119.829342,2
503566,38.267554,-122.473781,2
503596,38.546522,-121.75582,2
503626,32.899673,-114.649555,1
503636,36.184596,-118.997433,2
503646,36.524906,-117.633018,2
503656,35.822355,-115.932549,2
503666,39.211677,-123.345485,1
503686,41.161251,-123.682481,2
503696,37.53662,-118.25229,1
503726,33.116475,-117.189186,2
503746,37.388333,-121.239408,2
503756,37.453456,-122.147759,2
503776,34.617126,-114.756014,2
503796,36.356386,-118.293483,2
503846,38.970569,-122.002749,2
503866,36.542365,-116.611648,1
503896,37.790326,-121.784967,2
503916,34.956,-120.491074,1
503926,34.370886,-116.796293,2
503986,34.417343,-118.556692,2
504016,40.830683,-120.606105,2
504026,40.741974,-121.129558,2
504046,39.106688,-120.791652,2
504066,40.815202,-120.217867,1
504096,35.143878,-120.674674,2
504106,37.350524,-120.427514,2
504116,35.174043,-120.82351800000001,2
504126,35.135546,-120.791062,1
504136,35.062663,-120.668135,1
504146,35.02917,-120.656319,1
504156,34.981439,-120.661636,2
504166,35.256696,-119.008885,2
504176,34.579846,-114.787772,2
504186,34.857546,-120.680965,2
504196,34.818983,-120.648782,2
504206,34.737741,-120.642416,1
504216,36.210936,-119.101937,1
504226,36.074233,-118.096325,2
504236,34.613822,-120.661859,2
504246,39.163962,-121.553836,2
504256,34.536632,-120.597826,1
504266,39.618382,-122.300909,1
504276,35.118696,-118.383754,2
504286,34.532563,-120.655583,2
504296,35.530851,-116.311015,2
504306,33.437427,-114.940901,1
504316,34.459395,-120.533943,2
504326,34.420747,-120.502061,2
504336,34.138167,-120.452424,1
504346,34.134199,-120.509899,2
504356,34.130204,-120.567369,2
504366,33.998633,-114.55834,1
504376,34.01421,-120.472365,2
504416,33.189088,-114.786027,1
504476,35.619792,-118.756492,2
504536,38.797972,-120.132069,2
504606,36.665362,-119.958246,2
504636,40.00819,-121.418322,2
504656,40.333062,-120.71922000000001,1
504686,38.192585,-121.573054,2
504716,40.39443,-122.712362,1
504726,33.038558,-116.008328,2
504766,36.158459,-121.490824,1
504776,39.42373,-122.499968,2
504806,34.967074,-115.891006,2
504816,38.35216,-120.357125,1
504826,36.409471,-121.606784,2
504886,36.089554,-119.304142,2
505006,38.404495,-119.834115,2
505016,40.508194,-123.204583,2
505036,41.487009,-121.901011,1
505046,41.612226,-121.986236,1
505076,36.589361,-117.910324,1
505116,41.494458,-122.354935,2
505176,35.273403,-115.267451,2
505206,34.973451,-116.594965,2
505226,35.476828,-121.045651,2
505236,41.259227,-120.265906,2
505246,34.043559,-114.455928,2
505256,35.519829,-121.117487,2
505266,35.481466,-121.084655,2
505276,35.413308,-120.902341,2
505286,35.409018,-120.960737,2
505296,36.757875,-118.941391,2
505306,35.332143,-120.895421,2
505316,35.289433,-120.921136,2
505326,35.246708,-120.946833,2
505336,38.703979,-121.126427,1
505346,35.169802,-120.881743,2
505426,34.17807,-116.200439,2
505436,39.477914,-121.113061,2
505446,36.341926,-120.637015,2
505456,39.199194,-122.52411,2
505466,37.933438,-121.630888,2
505496,35.305029,-119.460196,1
505656,34.490522,-117.84212,1
505676,38.318461,-122.800172,1
505686,38.960467,-121.428662,1
505696,39.770057,-122.942514,1
505726,36.509721,-119.090131,1
505746,35.631956,-116.984257,1
505786,36.056134,-116.41266,2
505856,35.780155,-121.369231,2
505866,35.862049,-121.435721,1
505876,35.821639,-121.44029,2
505896,35.706906,-121.340859,2
505906,35.558174,-121.15035,1
505916,35.634832,-121.216213,2
505926,35.596512,-121.183255,2
505936,35.668636,-121.307789,1
505946,35.630348,-121.274773,1
505956,38.534559,-120.187526,2
505966,41.054677,-120.13087,1
505976,38.259373,-122.075489,2
506066,34.682091,-119.678379,2
506076,40.075601,-121.951634,1
506086,34.628879,-116.457113,2
506106,37.687691,-121.878771,2
506136,36.121351,-121.669102,1
506146,36.159656,-121.70353,2
506156,36.165041,-121.740887,1
506166,36.00172,-121.558736,2
506176,36.083394,-121.63599,1
506186,39.723911,-123.684357,2
506196,36.050699,-121.640307,2
506206,40.182101,-120.183416,2
506216,36.012558,-121.606863,2
506226,33.69813,-117.412071,2
506236,41.179329,-123.182471,1
506246,41.240867,-123.263412,1
506256,35.783412,-121.407104,2
506266,35.745168,-121.37396,2
506286,40.326175,-121.093258,2
506346,35.057602,-118.876184,2
506396,41.208391,-121.86401,2
506406,33.835431,-115.359524,1
506416,33.572827,-116.214295,2
506426,36.764755,-121.893093,2
506436,36.840712,-121.961298,2
506446,36.802738,-121.927173,2
506456,36.797788,-121.986628,2
506466,40.390147,-123.438306,1
506476,35.241986,-120.544708,2
506496,36.754868,-122.011929,1
506506,36.621116,-121.878365,2
506516,36.991386,-118.914802,2
506526,36.636026,-121.969087,2
506536,36.533204,-121.942304,2
506546,36.474223,-121.951769,2
506556,36.550183,-122.01967,2
506566,36.512208,-121.985697,2
506576,40.921757,-121.389324,1
506586,36.265958,-121.86613,2
506596,36.011062,-118.175934,2
506606,34.125712,-117.568935,1
506616,33.655758,-115.697145,1
506626,36.1983,-121.833484,2
506636,37.165393,-119.645441,1
506646,37.756728,-120.994331,2
506656,41.087133,-120.922806,1
506686,39.592066,-120.320388,2
506726,34.243192,-117.961376,1
506766,37.391734,-118.467938,2
506786,32.857815,-114.565348,1
506796,41.806228,-123.788726,2
506816,34.552865,-116.00208,2
506826,38.68022,-119.686176,2
506846,33.802411,-116.012435,1
506896,37.330851,-122.428097,2
506906,34.290287,-115.276192,2
506916,37.09582,-122.320808,2
506926,37.09064,-122.380492,2
506936,38.075516,-119.378074,1
506946,36.949506,-122.123518,1
506956,37.020155,-122.251863,2
506966,36.982308,-122.217459,2
506976,34.50481,-116.314716,2
506986,36.873675,-122.054989,2
506996,35.369441,-116.130491,1
507006,36.673988,-122.003139,2
507016,36.593099,-121.994387,1
507026,36.431306,-121.977058,1
507036,37.971128,-119.958176,2
507056,33.695574,-117.549298,1
507076,36.424063,-119.901609,1
507086,35.233822,-118.046383,1
507116,34.871466,-117.138846,1
507136,35.490355,-115.252067,2
507146,39.881242,-121.651644,2
507186,35.137625,-116.908492,2
507256,39.138199,-123.657967,1
507326,41.150979,-120.005515,1
507336,32.720399,-116.836404,2
507376,34.910264,-118.459742,1
507426,41.770067,-120.474163,2
507436,41.891727,-122.95227,1
507446,35.364317,-117.557679,2
507466,40.764862,-123.072727,1
507486,36.710306,-117.213608,1
507496,40.509766,-123.837314,1
507516,35.192849,-115.106173,2
507546,37.921498,-121.202655,1
507626,36.456976,-119.359201,2
507676,33.223508,-115.161152,2
507696,40.615355,-123.678543,1
507756,39.135301,-122.823929,2
507856,35.994065,-119.535747,2
507866,36.89489,-120.736864,2
507876,37.86879,-122.607313,1
507886,37.882082,-122.658428,2
507896,37.914272,-122.75405,2
507906,37.797246,-122.533802,2
507916,37.7691,-122.552895,1
507926,35.76236,-118.82894,2
507936,38.180772,-121.323071,2
507946,34.066903,-118.36012,2
507956,35.34618,-119.494023,2
507966,37.688386,-122.542937,2
507976,37.645362,-122.568039,2
507986,37.607661,-122.533022,1
507996,37.52127,-122.533327,2
508006,41.345846,-123.40462,2
508016,37.478807,-122.455607,2
508026,37.402887,-122.440757,2
508036,33.512411,-117.679292,2
