STATECD,PLOT_FIADB,INVYR,pre.temp,post.temp
6,61687,2008,14.582550716,15.255200577
6,79806,2006,12.749350547,13.45450077
6,59230,2007,16.2087008955,16.624300862
6,53084,2008,16.6883008965,17.178101062
6,88210,2002,16.826950932,16.759700774
6,78389,2004,16.6728507505,16.823500537
6,98064,2002,15.8207008365,15.478400707
6,93286,2004,15.8721508035,15.743300722999999
6,68442,2001,15.856650734999999,15.705100915
6,56654,2002,13.287900686,13.625600528
6,63108,2006,16.638150884,16.588900851000002
6,81085,2003,16.595751190999998,16.356900693
6,90140,2009,15.2479507445,15.741240404
6,65173,2002,15.2687507635,15.081400777999999
6,79329,2004,14.988200713,15.218600846
6,75509,2002,13.8979506495,13.573400783
6,69195,2004,13.661300564,13.60810051
6,90752,2002,17.0296510225,17.171600916
6,75280,2009,15.321100807,15.785100555
6,98471,2001,14.721850729,14.596100712
6,66901,2001,14.2598507405,14.328100682999999
6,89497,2007,13.0975005625,13.522400569
6,66278,2005,12.9484005925,13.080800819
6,89415,2008,15.292750693,15.782201004000001
6,73860,2005,14.909950828,15.141200638
6,67421,2007,14.76725068,15.190700627
6,86876,2009,13.992800617,14.488660431
6,64054,2001,12.626450681,12.267400551
6,57734,2009,15.8378007415,16.4443408
6,96467,2002,16.512550593,16.740000726999998
6,56931,2004,16.040350819,16.294400883
6,69890,2006,16.004950856,16.638700868
6,73595,2008,16.1519007685,16.912000561
6,96439,2002,15.2602508065,15.624500753
6,83363,2002,14.848550653,14.893100737000001
6,93085,2006,14.5653007045,14.886300851
6,72081,2002,13.4099006165,13.112400628
6,70949,2001,16.258700753,16.472300624
6,93626,2003,16.1938007345,16.373800755
6,52787,2005,16.0509008885,16.548400687
6,57341,2007,15.4427007675,16.108200741
6,92951,2009,15.632200765,16.34835043
6,94297,2001,14.829700708,15.161700821
6,75691,2007,15.9375008095,16.466500949
6,90830,2002,10.52720041285,9.715600394700001
6,67151,2004,11.54800042955,11.1761003483
6,80361,2006,13.058850622,13.38520069
6,51305,2005,15.5465005875,16.066300774
6,85206,2009,14.718100691,15.432760718
6,79369,2001,14.046100759,14.064400577
6,75305,2003,15.39155078,15.649000642999999
6,96155,2001,15.940000724999999,15.844600965
6,51707,2003,15.8313006405,15.783200836
6,89628,2005,14.557950593,14.801700878
6,92143,2006,10.09400048185,9.8029005048
6,56595,2002,10.49335060135,9.6033004761
6,72775,2004,15.5220508105,15.914400577
6,56548,2006,15.6191006655,16.302100848
6,64249,2008,13.9488506315,14.794000722
6,75939,2009,13.4239506245,13.929870604
6,79330,2009,10.27675066065,9.7634404182
6,87342,2001,11.04325065725,11.017400549
6,74186,2008,15.3413507935,16.369600868
6,94996,2002,14.6472007755,14.706900789
6,72857,2004,16.3167007445,16.495800972
6,95274,2001,13.3799505235,13.307000733
6,64252,2004,14.1772006985,14.434100628
6,54327,2006,14.229650689,14.684100724
6,65372,2001,9.83790035215,9.981200504
6,68419,2005,12.2352005005,12.307300758
6,77603,2004,14.6215007305,14.811100864
6,74751,2004,11.1335004814,11.013500499
6,88163,2003,14.5222006795,14.60060072
6,94550,2002,10.95780053165,11.205100441
6,93026,2004,11.23065052035,11.403000546
6,94273,2006,11.8038005835,12.061900614999999
6,70908,2008,12.324300575,12.600100612
6,91503,2004,15.982900665999999,16.305300904
6,71078,2002,14.3663507465,14.563200759999999
6,57030,2002,13.9647505275,13.965600776
6,79475,2002,16.337500572,16.48830061
6,68096,2001,16.4112007625,16.457100964000002
6,98374,2003,16.1489507665,16.291701221
6,57486,2001,15.550950813,15.630200768
6,83512,2003,15.76265068,15.901600933000001
6,70560,2001,16.0455007065,16.042200756
6,84923,2003,15.9080007555,16.026500702
6,66530,2002,15.8442007065,15.981100654
6,98748,2002,14.894150782,15.030900762
6,50901,2005,11.7906506065,12.534800624
6,85491,2005,11.044250537149999,11.638600638
6,92853,2009,11.28365058845,12.114000415
6,91929,2002,12.678550721,13.203600598
6,90025,2007,9.77365045585,10.518400572900001
6,60824,2009,10.2200005532,10.7394804948
6,72355,2001,10.70670051685,11.436800482
6,70657,2006,9.299350476499999,10.1494005208
6,72550,2008,9.6747506142,10.3143005366
6,84779,2004,12.829500532,13.493200587
6,72623,2008,15.4701008325,15.780600929
6,63978,2002,12.3728506085,13.124700450999999
6,66393,2005,11.08615055105,12.021800708999999
6,80054,2009,12.032950497,12.764560603
6,95200,2001,12.0821005345,13.108700657
6,69262,2008,11.0414004808,11.976600552
6,93941,2009,16.564700842,16.762080668
6,58038,2004,11.6779006485,12.313800526
6,65496,2004,10.0637004852,11.109400367
6,78506,2008,10.6694005012,11.641200447
6,85109,2005,8.42480044365,9.6749005308
6,92255,2007,11.2911005027,12.254400634
6,99197,2009,10.7331005105,11.63109045
6,56883,2001,8.105300378799999,9.4360003474
6,51883,2009,13.442750596,14.031310462
6,84007,2005,8.44795029165,9.5121005066
6,95529,2007,12.116900587,12.949700545
6,80200,2003,10.35700054195,11.549000548
6,52195,2005,14.6770507805,14.894200515
6,65803,2009,7.81520040035,8.6416203499
6,82285,2003,14.2445007325,14.482000638
6,84516,2004,12.0889005665,13.243300725000001
6,84182,2008,11.34260048875,12.335300637
6,92605,2004,13.9277006625,14.340200616
6,70350,2003,12.6681005945,13.722200585
6,70425,2006,8.66275038715,9.811400509
6,89362,2008,9.1257004733,10.3344004635
6,81450,2005,11.442600537,12.636500548
6,52424,2007,8.8965504169,10.1156005846
6,87810,2001,11.428500605,12.550000668
6,90023,2003,7.94770040515,9.0268004419
6,92408,2005,7.62140040395,8.7875004768
6,74073,2007,13.2864505765,14.386400797
6,70268,2009,9.38805036565,10.4841304777
6,90793,2007,10.18150034,11.264500617
6,81161,2005,11.5642506125,12.391000653
6,70234,2009,10.00180044155,10.9083403593
6,85165,2009,6.233200264,7.195240307000001
6,96605,2002,8.8933003905,10.142100428400001
6,60149,2006,10.74255056415,11.705700399
6,83742,2008,8.0852004528,9.2144003873
6,90330,2005,14.1539006715,14.627000619
6,63131,2006,7.08290026185,8.3575003624
6,97204,2008,7.8449504137,9.1563004497
6,53345,2002,6.9913003206,8.2236003876
6,91832,2002,6.82105035775,8.3108004094
6,61295,2007,7.76000039575,9.1191004756
6,54465,2009,8.5415503978,9.5088704102
6,54827,2001,9.9948505875,10.883700562
6,96399,2004,6.0358503103,7.4059003831
6,97180,2006,6.7060503245,8.1601003647
6,60599,2008,7.75630033015,8.7860003472
6,98232,2004,8.36090052125,9.3024003034
6,50476,2008,15.009300709,15.776300907
6,62779,2005,13.7542006485,14.715500642
6,84653,2007,13.1541006085,14.234000588
6,62252,2009,11.2272005079,12.166850663
6,97141,2001,8.7233504056,10.1385005004
6,60974,2003,6.7124003171,8.0061004163
6,84972,2005,10.093700504,10.907500459
6,86166,2003,10.047800445,10.859300423
6,79540,2005,7.66570036415,9.0411004063
6,73514,2007,6.31055030825,7.6136004447
6,62149,2009,6.59010036,7.5214003086
6,57542,2005,9.63025035835,10.6798005095
6,57710,2007,14.697950745,15.101300717
6,56846,2006,15.091800879000001,15.970100786
6,58740,2008,13.304500579499999,14.305900573
6,68934,2002,7.35550036435,8.6396003247
6,88971,2004,8.2119503975,9.4933005337
6,96328,2005,6.398900342,7.8415002822
6,60464,2001,13.9839506145,14.476400567
6,55147,2002,11.62175059385,12.787400531
6,74991,2004,10.9307505128,12.010800550999999
6,55165,2006,9.0444002865,10.1756006236
6,90601,2002,5.07745022775,6.6348002434
6,82587,2004,5.0114001989,6.6640002728
6,72263,2004,14.938850832,15.465100672
6,83248,2005,13.751800633,13.812100506
6,61844,2005,13.6000007155,14.608800698
6,53545,2007,11.5986005783,12.565400505
6,66883,2001,4.58215022085,6.2069002627
6,87968,2009,10.516300583,11.0333303455
6,99661,2008,6.4183002949,7.3214003085
6,51604,2007,8.510900402,9.1579005238
6,74199,2009,7.5691503049,8.2352802753
6,76572,2001,7.3212504387,7.7695004463
6,90505,2003,5.33845024105,6.0132003307
6,92739,2007,12.4436005105,13.250700666
6,79348,2009,11.03265061385,11.735460472
6,50529,2001,8.52380037315,9.2638004302
6,61095,2003,7.90855035795,8.3053004265
6,84933,2005,9.164150381,9.8570002554
6,67579,2007,6.2627502919,7.1173003197
6,50937,2006,14.612950659500001,15.353700733
6,59684,2008,14.3783007625,15.195800497
6,97120,2005,10.236850405,10.7055006016
6,62985,2004,9.11390037525,9.755600262
6,92381,2005,17.2303009035,17.45450096
6,60198,2007,16.5947509765,16.982501125
6,51882,2002,14.9181505215,15.252900791
6,90182,2004,11.61365060835,12.245700647
6,67876,2006,12.632300569,13.146300506
6,58454,2008,14.123200656,14.580000687
6,80549,2009,16.521600676,16.95962057
6,70103,2001,15.4354006285,15.609500598
6,68740,2003,15.4374008185,15.469200707
6,90854,2005,13.8640506735,14.22210064
6,91705,2007,6.6404003621,7.3389003753
6,70729,2009,15.128150653,15.77539053
6,98797,2005,15.818450546,15.978700639
6,77483,2007,13.9807506565,14.505900668
6,57386,2009,12.7213005065,13.275250626
6,77732,2001,8.5383504628,9.0657006263
6,80600,2002,15.533250761,15.810200595
6,70356,2004,15.040750694,15.627000713
6,67854,2002,15.4291007515,15.619300556
6,91576,2004,15.0040006155,15.405000686
6,68056,2006,10.2151505002,10.9591006281
6,68045,2008,8.6095503807,9.3978005409
6,81374,2001,14.9958007345,15.466400814
6,64525,2008,12.08190069295,12.894800758
6,85261,2002,8.7060003996,8.9731004715
6,79206,2004,7.6258503675,7.872600412300001
6,58360,2007,11.541450596299999,11.730000687
6,85121,2009,9.6255003928,9.6783504488
6,96929,2003,6.4342502832,5.8914002895
6,81396,2005,6.17135028855,6.6749002458
6,96668,2004,15.726500558,16.153400707
6,73952,2001,10.7548005593,10.5005004887
6,72118,2003,8.8953005314,8.6458003999
6,63135,2005,8.2925503492,7.7322003842000004
6,61128,2007,6.89065024845,6.4779002667
6,54781,2001,4.1225002051,3.6614001275
6,87421,2006,15.327000761499999,15.965400697
6,77730,2008,11.8414505008,12.360900688
6,81557,2002,7.46590037345,7.0835002899
6,75687,2004,6.9913003682,6.0334003449
6,69038,2006,4.09145019065,3.2263001919
6,86782,2003,8.3753004074,8.7365004539
6,57574,2002,15.1843506805,15.531800651000001
6,77546,2004,12.954750537,13.006700708
6,86025,2007,6.9574002981,6.4414002419
6,83122,2003,12.922050523,12.886600686
6,93206,2005,10.83295044885,10.777200509
6,87920,2007,6.9574002981,6.4414002419
6,81722,2009,5.7057502747,4.6540201427
6,67196,2008,5.16200022695,5.887000227
6,75286,2001,6.9227503299,7.3308003427
6,71015,2005,13.760150576000001,14.01000061
