STATECD,PLOT_FIADB,INVYR,pre.precip,post.precip
53,58412,2008,538.288424685,524.2363251
53,64615,2003,737.638085945,726.39093017
53,63694,2002,3216.8443237,3158.7603027
53,73261,2005,1235.373300135,1261.22356583
53,84669,2004,1255.83775638,1290.709253
53,76742,2003,1641.8370849,1679.9969728
53,73481,2008,1065.85449528,1196.41384886
53,72777,2004,2146.3449463,1642.3537599000001
53,52775,2007,2836.8992798,2833.5346435
53,65264,2007,546.30647736,557.15482484
53,62109,2009,747.59887695,741.49104003
53,66172,2006,640.0765274,632.17882689
53,82706,2005,1362.227615325,1461.4215698
53,79762,2004,1687.75019525,1570.4134521
53,99415,2005,1883.91556415,1776.5720947
53,51836,2007,3089.99864505,3212.7632324
53,84017,2005,2238.06146855,2284.3728759
53,96431,2006,2112.44541025,2108.6118897
53,67360,2006,1058.482559165,1143.87236321
53,63259,2009,3276.6545777,3552.0127442
53,67394,2003,686.864425655,669.78533935
53,55851,2004,678.711231985,694.23682861
53,90885,2003,1419.720071465,1358.2974488
53,77632,2003,803.76589662,823.26704714
53,61526,2009,573.29022829,646.1481323200001
53,64302,2006,890.161593635,934.31415405
53,53164,2007,592.793121335,583.55802309
53,51896,2008,2105.4017517,1757.8995727
53,73633,2008,644.56648101,625.44393309
53,68967,2009,727.16528929,772.50801387
53,53841,2009,434.38726806,467.72210999000004
53,77555,2003,3226.66336675,2841.0620361
53,55515,2005,781.82948304,843.01454462
53,65530,2006,454.48951875,437.36421815
53,59098,2003,1285.125213535,1226.63995354
53,65344,2008,1581.05321665,1717.7847657
53,70274,2005,516.456475835,515.84881897
53,86046,2004,3247.41855455,3173.0149412
53,55249,2006,935.65119015,947.69912115
53,95873,2008,862.33233334,875.25014037
53,59997,2005,1176.728460625,1286.07247932
53,54095,2005,2203.4155395,2243.1496947
53,82932,2003,735.665484625,759.4755310400001
53,59655,2005,778.869137605,814.28993528
53,82455,2004,428.73952180000003,446.63182374
53,67381,2006,601.559782415,616.37052918
53,61913,2007,3284.6294189,3381.3811279
53,79481,2008,957.61539005,959.58486333
53,51139,2008,535.340574655,543.21881714
53,54635,2003,1745.40528555,1677.0532592
53,99610,2008,841.13643188,894.69893804
53,75368,2002,1597.2193604,1561.2984621
53,67731,2009,2393.7922669,2191.1050781
53,84584,2004,769.799678025,777.52164306
53,81626,2003,772.10858765,793.77244875
53,63144,2009,1487.56191405,1436.47324833
53,99707,2005,1759.1580018,1522.0029663
53,74332,2006,1793.6829712,1358.81227426
53,56759,2009,3862.7038085,3863.1909180000002
53,93542,2004,1140.60145869,1217.76235962
53,93340,2005,1041.462646605,1221.78226317
53,59055,2003,4755.99904785,4432.6354492
53,92268,2009,879.22588808,840.11442262
53,55078,2009,697.015841695,719.91423035
53,54493,2005,1022.54150096,1103.43925783
53,97661,2006,1727.7373842,1796.591394
53,63659,2007,2690.64266355,3005.0721679
53,68121,2007,3242.25461425,3351.3454835000002
53,58402,2006,3671.15853275,4012.5427001
53,62362,2005,759.336935445,797.89083248
53,70402,2006,571.0529266350001,561.3790222
53,59955,2005,738.863128665,807.07933352
53,80394,2003,628.763929745,634.94352415
53,55124,2007,3623.41738285,3721.8552002
53,89605,2009,833.476788325,825.741034
53,68102,2007,658.83717956,759.31362919
53,93791,2008,680.232579035,685.5538330100001
53,54766,2006,792.732086195,729.05632934
53,71858,2003,1439.71053485,1353.6371583
53,75742,2003,505.17282713500003,502.76752319
53,83943,2007,2065.52236935,2192.0177001
53,59324,2008,3153.8508423499998,2881.1060547
53,78688,2002,2451.1952943,2393.3481934
53,60612,2003,605.667224125,603.13392943
53,83737,2004,516.6194259600001,537.4493225
53,86799,2006,3195.42060555,2785.9256348
53,99329,2003,2761.9485658,2780.5382326
53,51789,2009,1247.613708545,1245.7940428699999
53,52138,2006,819.933737185,779.31944583
53,52632,2005,3618.28417975,3586.9941894
53,70623,2003,2304.4888854,2142.1259277
53,57189,2003,2247.21146855,2159.5398802
