STATECD,PLOT_FIADB,INVYR,pre.vpdmax,post.vpdmax
41,80209,2005,12.522900629,12.903600407
41,68055,2009,12.6501505845,12.614470387
41,90722,2001,12.5807655335,13.602200698
41,89865,2006,11.6246504786,11.739200401
41,70478,2008,8.29070036415,8.5181005001
41,82549,2007,7.68610033995,7.8088003635
41,82559,2009,8.3308004617999991,8.326200246900001
41,53538,2002,9.78955042355,10.1218004231
41,88634,2003,8.79235045895,8.7060004234
41,98408,2001,9.27515056115,9.8025003436
41,88037,2002,8.3524004222,8.5365003108
41,86633,2005,8.9926004171,9.1629004952
41,61187,2001,7.8183103085,8.4807003021
41,82013,2005,8.2298003912,8.7466003895
41,58328,2008,8.1494503261,8.4391004562
41,93324,2009,8.5251503468,8.6328003404
41,88789,2006,7.9112004042,8.1689002992
41,59041,2001,9.7099953651,10.3611003888
41,90802,2003,7.9735503435,8.4901003363
41,80765,2005,7.8428004027,8.6444004535
41,67652,2007,9.107250380850001,9.5639004709
41,57557,2007,10.5114504816,10.4444005972
41,62354,2001,8.3831552984,9.1066002845
41,90823,2003,8.6062503339,8.9739005087
41,51412,2005,8.7807504174,9.558100319
41,79715,2002,8.765800357,9.3608004569
41,98956,2005,9.9527004712,10.3947006234
41,61967,2002,11.01850047195,10.9648004539
41,62107,2004,9.729400491649999,9.891200542
41,87839,2006,9.7243505003,9.8773005491
41,63347,2004,8.6039004565,8.9939004422
41,75304,2001,8.4722453356,9.359700632300001
41,89651,2003,8.84910047045,9.3491003032
41,64871,2005,10.244400454,10.5753005985
41,75471,2008,8.3532504559,8.9080004215
41,93589,2005,10.1307004454,10.360200596
41,65411,2007,9.2215505122,9.4956003195
41,73391,2007,10.19230051015,10.6042007432
41,55513,2009,8.5157503843,8.7989003187
41,76633,2001,7.936410427,8.6429005622
41,53556,2004,10.41010045975,10.2595004073
41,57655,2006,9.059600329,9.1669005872
41,57525,2009,10.6423504834,10.7310802461
41,87372,2001,10.6151505477,11.275900651
41,92093,2003,9.49635047925,9.8897005089
41,79316,2005,7.30675032135,7.7698004244
41,87838,2007,7.0117003441,7.3667004108
41,54369,2002,7.1657004119,7.9448004246
41,70450,2002,9.41995038925,10.1853004456
41,94172,2004,8.1369003057,8.4737002849
41,59277,2006,7.28825030335,7.5008004187
41,68923,2008,7.368050313,7.7751003266
41,65678,2004,11.20245051405,11.1998004908
41,87905,2002,7.23725037565,7.9120004176
41,90190,2009,7.83490042685,8.0522002697
41,80251,2009,9.5398005012,9.779680348
41,79808,2004,7.3994503974,7.8989004134
41,85376,2003,8.7580003021,9.3168004991
41,61430,2003,8.91155049765,9.4967003827
41,85225,2002,9.57695055045,10.2242003432
41,91636,2005,9.60130057335,10.0862004285
41,90293,2007,8.0285504103,8.438400364
41,59561,2004,9.1235503432,9.4576005934
41,56190,2006,9.36850037565,9.7043003079
41,78949,2008,8.87425031645,9.3987004751
41,81113,2009,12.0041505336,12.007570459
41,79189,2008,9.99685039525,10.3098003383
41,88412,2002,9.13230049615,9.8150005341
41,81871,2003,10.1861004827,10.4370006556
41,91960,2007,10.83345041395,11.165000535
41,89421,2001,8.92346539505,9.6345004561
41,69690,2008,15.8188006875,16.248800564
41,83475,2005,11.650400542949999,12.153300571
41,89674,2007,10.4361505033,10.683300401
41,77091,2009,9.02775053955,9.1883604046
41,61759,2001,8.7599504236,9.2420004844
41,85038,2003,10.0148004532,10.301200675
41,58298,2003,9.31860039175,9.6246004099
41,56298,2007,14.0370006565,14.612700652000001
41,57811,2004,11.60215053545,12.035100555
41,70557,2006,11.73660054195,12.057600593
41,99147,2008,9.7385004277,10.0301003458
41,59296,2001,9.80549554765,10.2163004879
41,58283,2008,10.2262504093,10.2302003861
41,65491,2008,11.38470053725,11.7996006
41,94956,2002,9.70320038775,10.0894004831
41,53605,2008,8.783150482,8.9862003804
41,59877,2009,12.39560060465,12.662180519
41,91973,2009,9.1517503979,9.0829003337
41,94603,2002,9.4121005295,9.9986004815
41,95656,2005,9.8583505634,10.7188005422
41,56510,2009,10.427350520600001,10.7788905145
41,89725,2005,10.2631504541,10.356100464299999
41,57837,2001,7.9111002922,8.68510046
41,62554,2003,8.9419503691,9.4023004527
41,95123,2007,10.0067004207,10.7248006823
41,75930,2007,9.53255045455,9.71230049
41,75587,2007,8.4691003323,8.8205003262
41,76211,2006,9.054250312,9.2445003505
41,63130,2008,8.4416504622,8.7689004422
41,80445,2002,8.02640035145,8.8527003765
41,95271,2003,9.60655035975,10.0826006884
41,76501,2003,7.904550314,8.4314003946
41,56514,2005,9.46970040815,10.0346004483
41,61259,2007,9.16530046485,9.5149004936
41,71062,2009,7.93335034855,7.8957602976
41,57913,2008,8.972950362999999,9.3634005545
41,82150,2003,9.419200373,10.2348006255
41,55116,2001,9.42142043085,10.2469005578
41,55975,2005,8.63560040035,9.3779003618
41,57762,2007,8.6163004397,9.3729004859
41,86582,2009,8.5961503744,8.9923904899
41,69177,2001,8.12601027475,9.467200374499999
41,68297,2003,9.19980049145,10.2310004232
41,68196,2002,9.941200495,10.8417003647
41,70045,2006,8.75205042405,9.1097003457
41,54572,2006,11.1630005836,11.708300496
41,71433,2004,9.9770004271,10.5696005831
41,63714,2002,8.3547003746,9.6671006196
41,51513,2008,9.89005045905,10.5354004851
41,58561,2008,11.72155051265,12.294500637
41,62429,2007,9.82890038535,10.1973005302
41,59891,2009,12.350700570099999,12.652110483
41,92141,2004,10.22700042655,10.9327007286
41,84747,2008,8.38985033045,8.650100374099999
41,62281,2001,11.1880303866,12.255100537
41,59479,2006,10.662700462450001,11.2346004482
41,73670,2003,7.87625033855,8.0509004593
41,60242,2003,10.68245048555,11.4041004176
41,64600,2005,10.40500049615,11.026600551
41,58079,2007,9.7830004929,10.1238003732
41,78730,2006,9.3444503788,9.8489004133
41,58233,2002,10.42570061685,11.3656004898
41,94924,2004,10.4477005488,11.1376006136
41,80796,2009,8.83380041185,9.2299304488
41,91421,2001,7.63783531195,8.814600372300001
41,55838,2003,7.05505027765,8.0097003459
41,58302,2004,9.0534503221,8.9611003398
41,88974,2005,8.26600041385,9.2172005652
41,94593,2007,7.23795034885,8.224300194
41,93266,2006,8.80250039115,8.8458002566
41,53357,2008,8.6388003829,8.6595005035
41,76252,2004,7.40615026955,8.2024003982
41,60759,2006,7.48265039925,8.2118003369
41,80252,2008,8.519700383950001,9.136900425
41,92630,2003,7.74050035485,7.7088003636
41,77745,2005,7.9912004471,8.0149002553
41,96536,2007,7.7493004322,7.5610003949
41,68005,2009,7.8189503908,7.6205503465
41,95923,2004,8.62490036475,8.5003003596
41,82957,2006,9.8255004639,9.8517004019
41,94698,2008,6.9947003365,7.7023003578
41,94310,2002,6.9477003336,7.8543003559999995
41,95063,2004,8.33730034825,8.7731005188
41,57150,2004,6.6063503502500005,7.4944003106
41,89003,2006,8.2395004271,9.1678002838
41,66975,2002,10.0726504326,12.03330059
41,65843,2007,8.2136504411,8.2109003067
41,58482,2009,9.17165040945,9.2268603802
41,79383,2001,7.69930531975,7.9135003567
41,72360,2001,7.80504040715,8.0255004406
41,87125,2003,9.35790035725,9.4743004323
41,55784,2001,6.927060318,7.8311003686
41,97484,2004,7.6548503637,8.2534004213
41,65141,2005,7.8242503643,8.5215002534
41,79052,2002,6.53135027895,7.8817003727
41,88603,2004,5.60000031,6.844500351
41,86160,2006,9.16370043765,10.368300629
41,99588,2004,9.6754505397,9.9867006306
41,91247,2006,8.4118004084,8.4561003685
41,62159,2008,7.97805044665,7.9662003994
41,69579,2003,7.83200035105,7.7787005426
41,77197,2005,7.9770503045000005,7.733800316
41,87950,2007,8.15165040495,7.7705003738
41,68060,2009,8.13850033295,7.9777602672
41,57345,2003,15.542100763999999,16.255300712
41,55173,2005,17.9041509615,18.956700897
41,61684,2007,7.0795002938,7.9948004722
41,54732,2001,5.54033522615,6.7648003102
41,61002,2005,6.89185030465,8.1462003231
41,62305,2008,9.60470044545,9.7808004369
41,93920,2002,9.9055004596,10.4901002893
41,60529,2004,8.0535504342,8.0462004186
41,66421,2002,7.79930036075,8.0134004117
41,87772,2004,7.73355042935,7.5349004746
41,85725,2005,8.60225040915,8.2580003261
41,76757,2008,7.21245033735,6.7383003711
41,99542,2001,7.5081003427,7.5421002866
41,94944,2009,8.74250042405,8.7352403162
41,92484,2001,7.60444529055,8.3844004155
41,61244,2003,6.8870003224000005,7.6607002737
41,73162,2005,5.9407002925,6.7732004165
41,56699,2009,8.260000348,8.2087304592
41,64207,2001,9.1243653298,9.6709004395
41,86088,2003,10.6763504986,11.0769005779
41,87793,2006,7.9766003132500005,7.816000414
41,95446,2008,7.6267504454,7.4154003621
41,85546,2003,9.17165041,9.6717004776
41,71137,2004,11.86700053215,12.276600551
41,93674,2005,7.7382503986,7.7655003548999995
41,88662,2009,7.9347002982,7.5111903191
41,81661,2006,16.368100834,17.083200644999998
41,84067,2004,9.9672503958,10.4075004572
41,73672,2007,8.7963503597,8.698200464200001
41,59668,2009,7.71220033175,7.3198903084
41,95263,2003,7.86920034885,7.6095003127
41,81511,2008,12.464700603,12.71720047
41,93161,2006,8.449650383049999,8.5453003884
41,68853,2008,8.3132503986,8.040700388
41,60387,2002,8.3449003458,8.4035004614
41,99298,2007,16.978950882,17.631200982
41,83335,2001,6.9565202951,7.869900465
41,89701,2006,7.7727503775999995,7.5027003288
41,96766,2002,6.9638503313,7.8556002617
41,93631,2002,8.075300359749999,8.8651004311
41,65177,2007,10.35595054545,10.5175004011
41,68543,2009,11.96945052075,12.027660560000001
41,62072,2003,8.7951004741,8.6659004212
41,52532,2002,12.6432507035,13.205800533
41,52611,2002,7.39875028125,7.8532001971000005
41,62612,2004,9.5646004194,9.4650005347
41,77415,2006,9.6580004211,9.4174006469
41,83607,2005,10.96220049865,11.2834005368
41,59255,2008,11.1039005748,11.2424006467
41,95484,2008,7.53295044895,7.9658003329
41,63487,2009,13.915400696,14.117080689
41,71058,2001,17.2660907745,18.375600815
41,78361,2007,9.8164504532,9.9269004338
41,78524,2009,8.6840503693,8.6768504622
41,92794,2001,9.0034103869,9.5075003626
41,88177,2005,14.579350709,15.234400749999999
41,65373,2006,10.84375057195,11.0559004776
41,78363,2004,11.9171005245,12.062100506
41,56545,2002,11.5010006438,11.970100498
41,71282,2001,9.83054542515,10.1962004657
41,90731,2003,16.6607006545,17.462400914
41,67453,2005,11.0254504185,11.3060004225
41,72847,2007,10.9463004582,11.071300507
41,53900,2007,11.54765048125,11.851700497
41,82743,2004,12.6963007925,13.012800598
41,59282,2006,12.5150505545,12.905800723
41,53929,2008,15.5301506985,16.140300655
41,92829,2004,10.02210040215,10.4478004443
41,87357,2006,9.9938505415,10.2698004712
41,76943,2003,11.421900606,11.776400567
41,97518,2005,11.5161505211,12.237900448
41,71000,2009,11.605700588,11.660200503
41,89426,2001,10.00191049615,10.7616003985
41,52355,2003,13.1602005485,13.667800616000001
41,78831,2008,10.48610052925,10.6573004714
41,80841,2002,10.17615051295,11.0338006016
41,88056,2007,14.073900604,14.945700932
41,53133,2002,8.3924503804,9.4277004729
41,58524,2002,8.9185503718,9.7264003752
53,96432,2008,11.004900408,10.8750003822
53,77259,2006,10.2458004475,9.8234003069
53,84324,2003,10.37415046695,9.9990005013
53,70324,2003,10.2207504756,10.0092005738
53,85171,2008,9.1882505418,9.5339004515
53,82448,2007,10.23780050395,10.0502004626
53,66935,2009,8.7630004167,8.7328804497
53,89580,2004,9.8515005109,9.5814003947
53,79888,2004,10.3822003366,10.0978002543
53,98269,2006,9.6331004146,9.5027004241
53,89166,2008,10.323050547,10.6404005996
53,78827,2002,9.7748505595,10.3026004792
53,52173,2004,11.424300432,11.2186004646
53,50956,2007,11.15595049805,11.1320005422
53,51057,2003,10.31140050935,9.8992005344
53,80226,2002,9.2400003908,9.7948003769
53,93890,2006,9.307900547600001,9.2784005162
53,78614,2007,9.77515053725,9.813900471
53,71911,2005,9.50945048365,9.6016005514
53,81951,2006,10.629650545,10.1404004109
53,77217,2006,11.735100555999999,11.523200510699999
53,71489,2007,11.1529505251,10.982600595200001
53,81590,2009,11.8698505875,11.855570411
53,64094,2003,11.816850567,11.876600551
53,90539,2007,11.5636505125,11.655100536500001
