puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
60387_41_63,11002041,41,2,110,1,411803,2018
50723_41_63,8901041,41,1,89,1,411803,2018
80841_41_63,10702041,41,2,107,1,411803,2018
63466_41_63,4601041,41,1,46,1,411803,2018
68000_41_63,15703041,41,3,157,1,411703,2017
74986_41_43,6501041,41,1,65,1,411803,2018
81479_41_43,6501041,41,1,65,1,411803,2018
96009_41_43,6101041,41,1,61,1,411703,2017
57917_41_43,6501041,41,1,65,1,411803,2018
97859_41_43,6501041,41,1,65,1,411803,2018
85225_41_43,11202041,41,2,112,1,411703,2017
80438_41_43,16303041,41,3,163,1,411703,2017
