puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
88464_41_47,13903041,41,3,139,1,411703,2017
95299_41_45,12303041,41,3,123,1,411803,2018
77667_41_37,12303041,41,3,123,1,411803,2018
53533_41_67,18803041,41,3,188,1,411703,2017
52624_41_5,15703041,41,3,157,1,411703,2017
54572_41_23,10602041,41,2,106,1,411803,2018
51808_41_1,5801041,41,1,58,1,411803,2018
61510_41_49,12303041,41,3,123,1,411703,2017
53288_41_45,12303041,41,3,123,1,411703,2017
80044_41_45,12303041,41,3,123,1,411703,2017
56913_41_33,13303041,41,3,133,1,411703,2017
57318_41_19,13203041,41,3,132,1,411703,2017
83204_41_39,13803041,41,3,138,1,411703,2017
98646_41_45,12303041,41,3,123,1,411703,2017
90571_41_47,15703041,41,3,157,1,411703,2017
91100_41_3,4201041,41,1,42,1,411703,2017
52136_41_39,18703041,41,3,187,1,411703,2017
91114_41_27,2501041,41,1,25,1,411803,2018
84503_41_35,19003041,41,3,190,1,411703,2017
53021_41_37,12303041,41,3,123,1,411703,2017
63542_41_45,17403041,41,3,174,1,411703,2017
68932_41_35,11803041,41,3,118,1,411803,2018
82594_41_35,15703041,41,3,157,1,411703,2017
81668_41_35,1401041,41,1,14,1,411703,2017
69131_41_29,12903041,41,3,129,1,411703,2017
97442_41_23,16803041,41,3,168,1,411703,2017
65260_41_23,14003041,41,3,140,1,411703,2017
71287_41_59,4601041,41,1,46,1,411803,2018
59277_41_39,11302041,41,2,113,1,411703,2017
57083_41_37,101041,41,1,1,1,411703,2017
89785_41_39,7101041,41,1,71,1,411803,2018
93758_41_37,15703041,41,3,157,1,411703,2017
74416_41_57,4301041,41,1,43,1,411803,2018
95959_41_39,4201041,41,1,42,1,411703,2017
87907_41_35,1101041,41,1,11,1,411803,2018
81071_41_65,18903041,41,3,189,1,411703,2017
64742_41_39,6501041,41,1,65,1,411803,2018
74170_41_1,5801041,41,1,58,1,411803,2018
85751_41_37,1201041,41,1,12,1,411703,2017
53470_41_45,12303041,41,3,123,1,411803,2018
53672_41_63,15703041,41,3,157,1,411703,2017
89247_41_41,4201041,41,1,42,1,411703,2017
97767_41_31,7001041,41,1,70,1,411803,2018
80580_41_61,4701041,41,1,47,1,411703,2017
53863_41_65,15703041,41,3,157,1,411703,2017
74808_41_23,4501041,41,1,45,1,411803,2018
83914_41_37,12303041,41,3,123,1,411803,2018
75096_41_23,1601041,41,1,16,1,411703,2017
60759_41_5,10302041,41,2,103,1,411803,2018
74940_41_45,12303041,41,3,123,1,411703,2017
99399_41_1,17403041,41,3,174,1,411703,2017
97920_41_45,17403041,41,3,174,1,411703,2017
79984_41_31,18703041,41,3,187,1,411703,2017
70032_41_11,13603041,41,3,136,1,411703,2017
85513_41_39,18703041,41,3,187,1,411703,2017
65646_41_37,18303041,41,3,183,1,411703,2017
75734_41_19,5301041,41,1,53,1,411703,2017
74441_41_31,17403041,41,3,174,1,411703,2017
71480_41_13,2801041,41,1,28,1,411803,2018
81673_41_35,1001041,41,1,10,1,411803,2018
